,Leaning,Source,Topic,Allsides,ArticleUrl,md5,notes
18,C,Christian Science Monitor,Gun laws,https://www.allsides.com/story/politics-and-guns,,,
19,L,CNN,Confidence in police,https://www.allsides.com/story/doj-cleveland-police-reach-deal,http://www.cnn.com/2015/05/26/politics/cleveland-police-reform/index.html,3D064FA479225D7EA6A6E062C78143C3,
20,L,CNN,Israel,https://www.allsides.com/story/israeli-spying-report,http://www.cnn.com/2015/03/24/politics/israel-spying-report-congress-boehner-reaction/index.html,75015D63F3D2A685263D824AE1DB6D3C,
21,L,CNN,Taxes on upper-income,https://www.allsides.com/story/obama-income-taxes,,,
22,C,Columbia Journalism Review,Global warming,https://www.allsides.com/story/cnn-hosts-7-hour-town-hall-climate-change,,,
23,L,Democracy Now,Gun laws,https://www.allsides.com/story/politics-and-guns,,,
24,R,Fox Online News,Israel,https://www.allsides.com/story/24-hour-cease-fire,https://www.foxnews.com/world/israel-extends-cease-fire-for-24-hours-despite-fresh-rocket-fire-from-gaza,840F548CBB97641041CF2EB943E143B0,bad link
25,R,Fox Online News,Death penalty,https://www.allsides.com/story/botched-oklahoma-execution,http://www.foxnews.com/opinion/2014/04/30/botched-oklahoma-execution-did-anyone-remember-clayton-lockett-victim/?intcmp=latestnews,452DCB8FB76D45D683119EB0D5A62B25,opinion
26,R,Fox Online News,Trust in mass media,https://www.allsides.com/story/distorted-videos-nancy-pelosi-spread-across-social-media,https://www.foxnews.com/politics/facebook-defends-decision-not-to-remove-controversial-video-of-pelosi,D115209D2957035457CD475943298FA8,
27,R,Fox Online News,Immigration,https://www.allsides.com/story/migrant-border-crossings-hit-record-high,https://www.foxnews.com/us/more-than-76000-migrants-tried-crossing-southern-border-in-february-officials-say,F63E8DB8168B510B0973B43D42EE456A,
28,R,Fox Online News,Foreign trade,https://www.allsides.com/story/president-trump-says-china-asked-trade-talks-resume,https://www.foxnews.com/politics/china-announces-it-seeks-end-to-trade-war-as-markets-tank-and-currency-hits-11-year-flatline,E769EA6084950043A21D1A79F9EF2798,
29,R,Fox Online News,Death penalty,https://www.allsides.com/story/president-trump-unveils-plan-address-opioid-crisis,http://www.foxnews.com/politics/2018/03/19/trump-declares-war-on-opioid-abuse-calls-for-death-penalty-for-traffickers-more-access-for-treatment.html,43775028BE2A154FD21134E59E4963A5,
30,R,Fox Online News,Healthcare,https://www.allsides.com/story/president-trump-unveils-plan-lower-prescription-drug-prices,http://www.foxnews.com/politics/2018/05/11/trump-vows-to-lower-us-drug-prices-by-ending-global-freeloading-taking-on-industry.html,43ECCBE3B919C5B71F9E274C397FBFBB,
31,R,Fox Online News,Federal Govt Power,https://www.allsides.com/story/state-department-finds-violations-no-systemic-mishandling-clinton-email-probe,https://www.foxnews.com/politics/report-hillary-clinton-emails-violations-faults,E2C8F4140615388B11D5E04FA15F3137,
32,R,Fox Online News,Immigration,https://www.allsides.com/story/trump-denies-family-separation-reports-blames-obama-policy,https://www.foxnews.com/politics/trump-says-no-plan-to-revive-family-separations-blames-obama-for-uproar,E70B38A9F44A4F2F7F40B3C7103D1DE2,
33,R,Fox Online News,Federal Govt Power,https://www.allsides.com/story/white-house-announces-it-will-not-comply-impeachment-inquiry,https://www.foxnews.com/politics/impeachment-inquiry-white-house-not-comply-pelosi,8BE89E95F23BBB071922EE1D34246997,
34,L,HuffPost,Israel,https://www.allsides.com/story/24-hour-cease-fire,http://www.huffingtonpost.com/2014/07/27/israel-gaza-hamas_n_5624465.html,7812946E74DE0469C7FA2009A46B0EBE,
35,L,HuffPost,K-12 education,https://www.allsides.com/story/democrats-propose-raising-teacher-pay-rescinding-tax-cuts-wealthiest-americans,https://www.huffingtonpost.com/entry/democrats-school-funding-teacher-walkouts_us_5b043ff3e4b0740c25e5c2d8,51F8B0622925578CE4EB1B1C932C0CC8,
